service_id,date,exception_type
64,20121107,2
64,20121108,2
64,20121109,2
64,20121225,2
64,20121226,2
64,20121227,2
64,20121228,2
64,20130101,2
64,20130102,2
64,20130103,2
64,20130104,2
64,20130226,2
64,20130227,2
64,20130228,2
64,20130301,2
64,20130305,2
64,20130306,2
64,20130307,2
64,20130308,2
64,20130423,2
64,20130424,2
64,20130425,2
64,20130426,2
64,20130430,2
64,20130501,2
64,20130502,2
64,20130503,2
52,20121101,1
52,20130501,1
52,20121225,1
52,20130101,1
57,20130501,2
57,20121101,2
57,20130508,2
57,20130509,2
57,20121225,2
57,20130101,2
57,20130401,2
57,20130520,2
56,20121110,1
56,20121229,1
56,20130105,1
56,20130302,1
56,20130309,1
56,20130427,1
56,20121103,1
56,20130504,1
60,20121224,1
60,20121225,1
60,20121227,1
60,20121228,1
60,20121231,1
60,20130101,1
60,20130103,1
60,20130104,1
60,20130225,1
60,20130226,1
60,20130228,1
60,20130301,1
60,20130304,1
60,20130305,1
60,20130307,1
60,20130308,1
60,20130422,1
60,20130423,1
60,20130425,1
60,20130426,1
60,20130429,1
60,20130430,1
60,20130502,1
60,20130503,1
60,20121101,2
60,20121225,2
60,20130101,2
61,20121225,2
61,20130101,2
