stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:LIL13213O,"La Grande Haie",,47.37348734,-1.63370456,,,0,StopArea:LIL168
StopPoint:LIL13219O,"Curette",,47.35991269,-1.63218273,,,0,StopArea:LIL84
StopPoint:LIL13236O,"Boeufs Gras",,47.34724516,-1.62578705,,,0,StopArea:LIL908
StopPoint:LIL12224O,"Bois Robin",,47.37448578,-1.59744134,,,0,StopArea:LIL23
StopPoint:LIL12223O,"Poteau Casson",,47.37565223,-1.59096761,,,0,StopArea:LIL294
StopPoint:LIL12219O,"Pas des haies",,47.38084943,-1.59473338,,,0,StopArea:LIL271
StopPoint:LIL12231O,"La butte",,47.36743237,-1.60626892,,,0,StopArea:LIL185
StopPoint:LIL12280O,"Noe Violin",,47.30165593,-1.59352994,,,0,StopArea:LIL263
StopPoint:LIL12201O,"Gergaudière",,47.28943973,-1.59653617,,,0,StopArea:LIL118
StopPoint:LILNav2435,"Le Gray",,47.28408616,-1.58669633,,,0,StopArea:LIL1294
StopPoint:LIL20738N,"Carcouet",,47.2315012,-1.59276214,,,0,StopArea:LIL39
StopPoint:LILNav2434,"Le Gray",,47.28408616,-1.58669633,,,0,StopArea:LIL1294
StopPoint:LIL12201N,"Gergaudière",,47.28943973,-1.59653617,,,0,StopArea:LIL118
StopPoint:LIL12280N,"Noe Violin",,47.30165593,-1.59352994,,,0,StopArea:LIL263
StopPoint:LIL593O,"Boeufs Gras",,47.34724516,-1.62578705,,,0,StopArea:LIL908
StopPoint:LIL13219N,"Curette",,47.35991269,-1.63218273,,,0,StopArea:LIL84
StopPoint:LIL13213N,"La Grande Haie",,47.37348734,-1.63370456,,,0,StopArea:LIL168
StopPoint:LIL24840O,"ZA de l'érette",,47.37761413,-1.64465485,,,0,StopArea:LIL384
StopPoint:LIL12231N,"La butte",,47.36743237,-1.60626892,,,0,StopArea:LIL185
StopPoint:LIL12224N,"Bois Robin",,47.37448578,-1.59744134,,,0,StopArea:LIL23
StopPoint:LIL12223N,"Poteau Casson",,47.37565223,-1.59096761,,,0,StopArea:LIL294
StopPoint:LIL12219N,"Pas des haies",,47.38084943,-1.59473338,,,0,StopArea:LIL271
StopPoint:LIL12304O,"Levée des dons",,47.29982592,-1.6210429,,,0,StopArea:LIL214
StopPoint:LIL24837O,"Petit Bois",,47.30577825,-1.63307496,,,0,StopArea:LIL907
StopPoint:LILNav2267,"La Fontaine",,47.3073795,-1.63246712,,,0,StopArea:LIL1207
StopPoint:LIL13252O,"Garambeau",,47.31341447,-1.6335192,,,0,StopArea:LIL106
StopPoint:LIL13251O,"Sionnière",,47.31659036,-1.63748337,,,0,StopArea:LIL349
StopPoint:LIL13247O,"Grehandière",,47.3273234,-1.64335628,,,0,StopArea:LIL124
StopPoint:LIL13245O,"Muzon",,47.33141633,-1.66804054,,,0,StopArea:LIL259
StopPoint:LIL13245N,"Muzon",,47.33141633,-1.66804054,,,0,StopArea:LIL259
StopPoint:LIL13247N,"Grehandière",,47.3273234,-1.64335628,,,0,StopArea:LIL124
StopPoint:LIL13251N,"Sionnière",,47.31659036,-1.63748337,,,0,StopArea:LIL349
StopPoint:LIL13252N,"Garambeau",,47.31341447,-1.6335192,,,0,StopArea:LIL106
StopPoint:LILNav2266,"La Fontaine",,47.3073795,-1.63246712,,,0,StopArea:LIL1207
StopPoint:LIL24837N,"Petit Bois",,47.30577825,-1.63307496,,,0,StopArea:LIL907
StopPoint:LIL12304N,"Levée des dons",,47.29982592,-1.6210429,,,0,StopArea:LIL214
StopPoint:LILNav2245,"Les Bourdonnières Arrêt Busway",,47.18633674,-1.51752998,,,0,StopArea:LIL1202
StopPoint:LIL08697O,"Les Trois Hermines",,47.10950751,-1.47287408,,,0,StopArea:LIL213
StopPoint:LIL22131O,"Le Butay",,47.09574236,-1.447567,,,0,StopArea:LIL193
StopPoint:LIL08781O,"La Jaunaie",,47.09466785,-1.43917688,,,0,StopArea:LIL172
StopPoint:LIL08765O,"Le Haut Coin",,47.08323256,-1.41709686,,,0,StopArea:LIL196
StopPoint:LIL08746O,"Le Plessis",,47.07801928,-1.40537098,,,0,StopArea:LIL199
StopPoint:LIL08724O,"Centre",,47.07468694,-1.39674014,,,0,StopArea:LIL4
StopPoint:LIL24755O,"Centre",,47.05738951,-1.3734083,,,0,StopArea:LIL307
StopPoint:LILNav200,"Centre Social",,46.97619008,-1.31134991,,,0,StopArea:LIL45
StopPoint:LILNav2473,"Champ de Foire",,0,0,,,0,StopArea:LIL55
StopPoint:LIL09433O,"Centre",,47.09707747,-1.38438444,,,0,StopArea:LIL233
StopPoint:LILNav2484,"Champ de Foire",,0,0,,,0,StopArea:LIL55
StopPoint:LILNav210,"Centre Social",,46.97619008,-1.31134991,,,0,StopArea:LIL45
StopPoint:LIL24755N,"Centre",,47.05738951,-1.3734083,,,0,StopArea:LIL307
StopPoint:LIL09433N,"Centre",,47.09707747,-1.38438444,,,0,StopArea:LIL233
StopPoint:LIL08724N,"Centre",,47.07468694,-1.39674014,,,0,StopArea:LIL4
StopPoint:LIL08746N,"Le Plessis",,47.07801929,-1.40537097,,,0,StopArea:LIL199
StopPoint:LIL08765N,"Le Haut Coin",,47.08323256,-1.41709686,,,0,StopArea:LIL196
